identifier;sportName;type;publisherName;publisherIdentifier;title;dateAccepted;number;status;url
2025-33/4.1/25;Бочча;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з бочча серед осіб з ураженнями опорно-рухового апарату;11.09.2025;33/4.1/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/Invasport/pravila-bocca.pdf
2025-32/3.5/25;Регбі;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з регбі;21.08.2025;32/3.5/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/pravila-regbi.pdf
2025-31/4.1/25;Легка атлетика;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з пара легкої атлетики серед осіб з ураженнями опорно-рухового апарату, порушеннями зору та розумового і фізичного розвитку;13.08.2025;31/4.1/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/Invasport/pr-la.pdf
2025-30/3.2/25;Кікбоксинг WАКО;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з кікбоксингу WAKO;08.08.2025;30/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/pravila-wako.pdf
2025-29/3.2/25;Комбат самозахист ІСО;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з комбат самозахист ІСО ;08.08.2025;29/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/pravila-kombat-iso.pdf
2025-28/3.2/25;Військово-технологічний спорт;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з військово-технологічного спорту;10.07.2025;28/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/viiskovo-texnologicnii-sport.pdf
2025-27/3.2/25;Шотокан карате-до С.К.І.Ф.;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з шотокан карате-до С.К.І.Ф.;30.06.2025;27/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/sotokan-karate-do-skif.pdf
2025-26/3.2/25;Фунакоші шотокан карате;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з фунакоші шотокан карате;19.06.2025;26/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/Invasport/pravila-funakosi-sotokan-karate.pdf
2025-25/4.1/25;Пауерліфтинг;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з пара пауерліфтингу серед осіб з ураженнями опорно-рухового апарату;09.06.2025;25/4.1/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/Invasport/pravila-para-pauerliftingu.pdf
2025-24/3.2/25;Бойове самбо;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з бойового самбо;06.06.2025;24/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/pravila-boiove-sambo.pdf
2025-23/3.2/25;Комбат Дзю-Дзюцу;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з комбат Дзю-Дзюцу;30.05.2025;23/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/pravila-kombat-dziu-dziucu.pdf
2025-22/3.5/25;Бейсбол;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Офіційні правила гри з бейсболу5;13.05.2025;22/3.5/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/pravila-beisbol5.pdf
2025-21/3.5/25;Баскетбол;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила проведення спортивних змагань з баскетболу;05.05.2025;21/3.5/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/pravila-basketbol.pdf
2025-20/3.5/25;Баскетбол;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила проведення змагань з баскетболу 3х3;02.05.2025;20/3.5/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/basketbol-3x3.pdf
2025-19/3.2/25;Таїландський бокс Муей Тай;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з таїландського боксу Муей Тай;11.04.2025;19/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/%20бокс%20Муей%20Тай.pdf
